Packet Number,Latency (seconds),Average Latency (seconds)
0,0.0012891292572021484,0.0012891292572021484
1,0.0023870468139648438,0.001838088035583496
2,0.0023870468139648438,0.0020210742950439453
3,0.0023870468139648438,0.00211256742477417
4,0.0010979175567626953,0.001909637451171875
5,0.002221822738647461,0.001961668332417806
6,0.002221822738647461,0.001998833247593471
7,0.0011239051818847656,0.0018894672393798828
8,0.0024209022521972656,0.0019485155741373699
9,0.001474142074584961,0.0019010782241821289
10,0.001474142074584961,0.0018622658469460227
11,0.0035381317138671875,0.0020019213358561196
12,0.006136178970336914,0.002319941153893104
13,0.013795852661132812,0.0031396491186959402
14,0.015811920166015625,0.003984467188517252
15,0.014796018600463867,0.004660189151763916
16,0.013747930526733398,0.005194762173820944
17,0.021842002868652344,0.0061196088790893555
18,0.028294086456298828,0.007286686646310906
19,0.030300140380859375,0.00843735933303833
20,0.029217004776000977,0.009426866258893694
21,0.027193069458007812,0.010234420949762518
22,0.03610992431640625,0.011359442835268766
23,0.03610992431640625,0.012390712896982828
24,0.03490805625915527,0.013291406631469726
25,0.04001498222351074,0.014319236461932842
26,0.04100394248962402,0.015307558907402886
27,0.048007965087890625,0.01647543055670602
28,0.04850602149963379,0.017579933692669046
29,0.05809807777404785,0.018930538495381673
30,0.05809807777404785,0.020194007504370906
31,0.06796908378601074,0.02168697863817215
32,0.0729990005493164,0.02324188839305531
33,0.0729990005493164,0.02470533286823946
34,0.07801198959350586,0.02622838020324707
35,0.08105301856994629,0.02775128682454427
36,0.08105301856994629,0.029191874169014597
37,0.08101987838745117,0.03055576901686819
38,0.08101987838745117,0.03184972053919083
39,0.09011197090148926,0.03330627679824829
40,0.09011197090148926,0.03469178153247368
41,0.09011197090148926,0.036011309850783574
42,0.09966802597045898,0.03749169859775277
43,0.09799504280090332,0.03886677460236983
44,0.09799504280090332,0.040180736117892794
45,0.09999585151672363,0.041481064713519554
46,0.10979485511779785,0.04293454961573824
47,0.1123049259185791,0.04437976578871409
48,0.1123049259185791,0.04576599354646644
49,0.11980986595153809,0.04724687099456787
50,0.11980986595153809,0.04866967481725356
51,0.11980986595153809,0.0500377554159898
52,0.12965679168701172,0.051540001383367576
53,0.1347048282623291,0.05308009077001501
54,0.12987518310546875,0.05447636517611417
55,0.13337922096252441,0.05588534474372864
56,0.12978720664978027,0.05718186863681726
57,0.13451004028320312,0.05851511297554805
58,0.14001703262329102,0.059896501444153864
59,0.1426241397857666,0.06127529541651408
60,0.1426241397857666,0.06260888302912478
61,0.14594507217407227,0.0639530151121078
62,0.14594507217407227,0.06525447633531359
63,0.14594507217407227,0.06651526689529419
64,0.15003299713134766,0.06780015505277194
65,0.15003299713134766,0.06904610720547763
66,0.1573162078857422,0.07036357139473531
67,0.15682315826416016,0.07163503590752096
68,0.15682315826416016,0.07286964637645776
69,0.16258716583251953,0.07415132522583008
70,0.16709399223327637,0.07546037687382227
71,0.1767289638519287,0.07686688502629598
72,0.17877697944641113,0.07826291371698249
73,0.17877697944641113,0.07962121190251531
74,0.17157578468322754,0.0808472728729248
75,0.17934489250183105,0.08214329418383147
76,0.17934489250183105,0.08340565260354575
77,0.18730807304382324,0.08473773491688263
78,0.18931293487548828,0.08606147162521942
79,0.19161510467529297,0.08738089203834534
80,0.19562101364135742,0.08871718983591338
81,0.19455695152282715,0.09000791863697331
82,0.19455695152282715,0.09126754553921251
83,0.20211100578308105,0.09258711054211571
84,0.20211100578308105,0.09387562695671531
85,0.20211100578308105,0.09513417787330095
86,0.20961499214172363,0.09645004930167363
87,0.21105313301086426,0.09775235707109625
88,0.20995688438415527,0.09901308209708568
89,0.20995688438415527,0.10024579101138645
90,0.21622800827026367,0.10152032087137411
91,0.21973395347595215,0.1028052516605543
92,0.22561287879943848,0.10412576378032726
93,0.2251291275024414,0.10541303360715826
94,0.22774505615234375,0.10670073910763389
95,0.23479104042053223,0.10803501307964325
96,0.23585295677185059,0.10935272383935672
97,0.24387001991271973,0.11072534930949308
98,0.23986291885375977,0.11202976920387962
99,0.24715495109558105,0.11338102102279662
100,0.24976706504821777,0.11473137789433545
101,0.2522919178009033,0.11608001063851749
102,0.25679802894592285,0.11744620499101657
103,0.2603170871734619,0.11881996347354008
104,0.2603170871734619,0.12016755512782505
105,0.2683451175689697,0.12156545666028869
106,0.27205801010131836,0.12297192912235438
107,0.27205801010131836,0.12435235579808553
108,0.27706408500671387,0.1257533808366968
109,0.2700340747833252,0.12706502350893886
110,0.27954602241516113,0.12843872620178773
111,0.278515100479126,0.12977869382926396
112,0.2886819839477539,0.1311849176356223
113,0.2938699722290039,0.13261197951802037
114,0.2938699722290039,0.13401422293289847
115,0.29888010025024414,0.13543548049597903
116,0.3019139766693115,0.13685837362566564
117,0.30994105339050293,0.1383251759965541
118,0.3019289970397949,0.13969999802212754
119,0.30084896087646484,0.14104290604591369
120,0.3098900318145752,0.14243833683739024
121,0.3171110153198242,0.1438700801036397
122,0.31961703300476074,0.14529891711909595
123,0.31961703300476074,0.14670470837623842
124,0.3251659870147705,0.1481323986053467
125,0.32967090606689453,0.14957318041059706
126,0.3333899974822998,0.15102055692297267
127,0.3399019241333008,0.15249619260430336
128,0.33394598960876465,0.15390278017798134
129,0.3318808078765869,0.1552718419295091
130,0.34537291526794434,0.1567229951611002
131,0.34789490699768066,0.15817126722046823
132,0.3499000072479248,0.15961283669435888
133,0.3499000072479248,0.16103289020595266
134,0.3537318706512451,0.16246029006110296
135,0.3582730293273926,0.16390008961453156
136,0.3582730293273926,0.16531887019637728
137,0.3637869358062744,0.1667570445848548
138,0.36231398582458496,0.16816392905420538
139,0.36981916427612305,0.1696043235915048
140,0.36981916427612305,0.17102428700061553
141,0.37831997871398926,0.17248411581549847
142,0.37982606887817383,0.17393405954320948
143,0.3824150562286377,0.17538184424241385
144,0.3854210376739502,0.17683039040401063
145,0.3798091411590576,0.1782206558201411
146,0.38999509811401367,0.17966129828472527
147,0.39301609992980957,0.1811028847823272
148,0.3905060291290283,0.18250827501284195
149,0.3985559940338135,0.18394859313964843
150,0.3985559940338135,0.1853698342051727
151,0.3985559940338135,0.18677237473036112
152,0.407412052154541,0.18821446412529041
153,0.41519904136657715,0.18968838995153253
154,0.41770505905151367,0.19115946523604854
155,0.42272496223449707,0.19264385944757706
156,0.42272496223449707,0.19410934417870393
157,0.42025303840637207,0.19554063338267652
158,0.42348814010620117,0.19697426550043454
159,0.42348814010620117,0.19838997721672058
160,0.43090105056762695,0.19983414537417962
161,0.43090105056762695,0.20126048429512683
162,0.44020605087280273,0.20272640801646227
163,0.44020605087280273,0.20417445461924483
