Frame,Start Time,End Time,Type,Delay (ms)
75,2024-11-11 18:11:13.562146,2024-11-11 18:11:13.573282,Client,11.136
76,2024-11-11 18:11:13.573282,2024-11-11 18:11:13.573282,Predicted,0.0
77,2024-11-11 18:11:13.573282,2024-11-11 18:11:13.580330,Predicted,7.047999999999999
78,2024-11-11 18:11:13.580330,2024-11-11 18:11:13.580330,Predicted,0.0
79,2024-11-11 18:11:13.580330,2024-11-11 18:11:13.590075,Predicted,9.745000000000001
80,2024-11-11 18:11:13.590075,2024-11-11 18:11:13.590075,Predicted,0.0
81,2024-11-11 18:11:13.590075,2024-11-11 18:11:13.590075,Predicted,0.0
82,2024-11-11 18:11:13.590075,2024-11-11 18:11:13.600282,Predicted,10.207
83,2024-11-11 18:11:13.600282,2024-11-11 18:11:13.605119,Predicted,4.837
84,2024-11-11 18:11:13.605119,2024-11-11 18:11:13.607627,Predicted,2.508
85,2024-11-11 18:11:13.607627,2024-11-11 18:11:13.610250,Predicted,2.6229999999999998
86,2024-11-11 18:11:13.610250,2024-11-11 18:11:13.610250,Predicted,0.0
87,2024-11-11 18:11:13.610250,2024-11-11 18:11:13.610250,Predicted,0.0
88,2024-11-11 18:11:13.620450,2024-11-11 18:11:13.620597,Predicted,0.147
89,2024-11-11 18:11:13.620597,2024-11-11 18:11:13.620597,Predicted,0.0
90,2024-11-11 18:11:13.620597,2024-11-11 18:11:13.630519,Predicted,9.922
91,2024-11-11 18:11:13.630519,2024-11-11 18:11:13.636376,Predicted,5.857
92,2024-11-11 18:11:13.636376,2024-11-11 18:11:13.636376,Predicted,0.0
93,2024-11-11 18:11:13.640438,2024-11-11 18:11:13.640438,Predicted,0.0
94,2024-11-11 18:11:13.640438,2024-11-11 18:11:13.640438,Predicted,0.0
95,2024-11-11 18:11:13.640438,2024-11-11 18:11:13.650302,Predicted,9.863999999999999
96,2024-11-11 18:11:13.650302,2024-11-11 18:11:13.652311,Predicted,2.009
97,2024-11-11 18:11:13.652311,2024-11-11 18:11:13.655318,Predicted,3.007
98,2024-11-11 18:11:13.655318,2024-11-11 18:11:13.662515,Predicted,7.197
99,2024-11-11 18:11:13.662515,2024-11-11 18:11:13.662515,Predicted,0.0
100,2024-11-11 18:11:13.662515,2024-11-11 18:11:13.668029,Predicted,5.514
101,2024-11-11 18:11:14.830322,2024-11-11 18:11:14.840433,Client,10.111
102,2024-11-11 18:11:14.880550,2024-11-11 18:11:14.890179,Client,9.629
103,2024-11-11 18:11:14.927862,2024-11-11 18:11:14.930658,Client,2.796
104,2024-11-11 18:11:14.975688,2024-11-11 18:11:14.980197,Client,4.509
105,2024-11-11 18:11:15.025178,2024-11-11 18:11:15.030411,Client,5.233
106,2024-11-11 18:11:15.073115,2024-11-11 18:11:15.080178,Client,7.063
107,2024-11-11 18:11:15.120453,2024-11-11 18:11:15.130604,Client,10.151
108,2024-11-11 18:11:15.170322,2024-11-11 18:11:15.180464,Client,10.142
109,2024-11-11 18:11:15.217227,2024-11-11 18:11:15.220410,Client,3.1830000000000003
110,2024-11-11 18:11:15.265464,2024-11-11 18:11:15.270603,Client,5.139
111,2024-11-11 18:11:15.312116,2024-11-11 18:11:15.320446,Client,8.33
112,2024-11-11 18:11:15.361094,2024-11-11 18:11:15.370386,Client,9.292
113,2024-11-11 18:11:15.410410,2024-11-11 18:11:15.422301,Client,11.891
114,2024-11-11 18:11:15.460132,2024-11-11 18:11:15.470986,Client,10.854000000000001
115,2024-11-11 18:11:15.510269,2024-11-11 18:11:15.521968,Client,11.699
116,2024-11-11 18:11:15.560336,2024-11-11 18:11:15.570391,Client,10.055
117,2024-11-11 18:11:15.610416,2024-11-11 18:11:15.625183,Client,14.767000000000001
118,2024-11-11 18:11:15.665681,2024-11-11 18:11:15.670309,Client,4.628
119,2024-11-11 18:11:15.712680,2024-11-11 18:11:15.720323,Client,7.643
120,2024-11-11 18:11:15.761383,2024-11-11 18:11:15.765528,Client,4.1450000000000005
121,2024-11-11 18:11:15.806492,2024-11-11 18:11:15.809999,Client,3.507
122,2024-11-11 18:11:15.854127,2024-11-11 18:11:15.865558,Client,11.431000000000001
123,2024-11-11 18:11:15.901737,2024-11-11 18:11:15.910246,Client,8.508999999999999
124,2024-11-11 18:11:15.951756,2024-11-11 18:11:15.960321,Client,8.565
125,2024-11-11 18:11:16.000131,2024-11-11 18:11:16.005455,Client,5.324
126,2024-11-11 18:11:16.005455,2024-11-11 18:11:16.012915,Predicted,7.46
127,2024-11-11 18:11:16.012915,2024-11-11 18:11:16.012915,Predicted,0.0
128,2024-11-11 18:11:16.012915,2024-11-11 18:11:16.012915,Predicted,0.0
